birth_year,year,month,count
1899,2014,1,21
1900,2014,1,92
1901,2014,1,11
1910,2014,1,4
1917,2014,1,2
1920,2014,1,1
1921,2014,1,1
1922,2014,1,19
1926,2014,1,8
1927,2014,1,4
1929,2014,1,2
1931,2014,1,1
1932,2014,1,6
1933,2014,1,25
1934,2014,1,29
1935,2014,1,39
1936,2014,1,50
1937,2014,1,1
1938,2014,1,56
1939,2014,1,55
1940,2014,1,128
1941,2014,1,246
1941,2014,2,2
1942,2014,1,309
1943,2014,1,208
1944,2014,1,373
1945,2014,1,361
1946,2014,1,534
1947,2014,1,771
1948,2014,1,1175
1949,2014,1,1013
1950,2014,1,1148
1951,2014,1,1523
1952,2014,1,1641
1953,2014,1,2490
1954,2014,1,2663
1955,2014,1,2634
1955,2014,2,1
1956,2014,1,3245
1956,2014,2,1
1957,2014,1,3272
1958,2014,1,4425
1959,2014,1,3890
1959,2014,2,1
1960,2014,1,4761
1960,2014,2,1
1961,2014,1,4121
1962,2014,1,5244
1963,2014,1,6149
1963,2014,2,2
1964,2014,1,6053
1964,2014,2,1
1965,2014,1,5552
1966,2014,1,5845
1967,2014,1,6794
1968,2014,1,6309
1969,2014,1,7669
1969,2014,2,2
1970,2014,1,8458
1970,2014,2,2
1971,2014,1,7202
1972,2014,1,7114
1972,2014,2,1
1973,2014,1,6856
1973,2014,2,1
1974,2014,1,8212
1975,2014,1,6938
1975,2014,2,1
1976,2014,1,7591
1976,2014,2,2
1977,2014,1,8167
1977,2014,2,4
1978,2014,1,9554
1979,2014,1,10254
1979,2014,2,1
1980,2014,1,10460
1980,2014,2,3
1981,2014,1,11206
1981,2014,2,4
1982,2014,1,10853
1982,2014,2,3
1983,2014,1,11972
1983,2014,2,1
1984,2014,1,11902
1984,2014,2,1
1985,2014,1,11544
1986,2014,1,10062
1987,2014,1,9409
1987,2014,2,1
1988,2014,1,10144
1988,2014,2,2
1989,2014,1,8423
1989,2014,2,2
1990,2014,1,6855
1990,2014,2,1
1991,2014,1,3074
1991,2014,2,1
1992,2014,1,1756
1993,2014,1,1608
1994,2014,1,959
1995,2014,1,696
1995,2014,2,1
1996,2014,1,433
1997,2014,1,428
\N,2014,1,7252
\N,2014,2,2
1899,2014,2,9
1900,2014,2,68
1901,2014,2,11
1907,2014,2,5
1910,2014,2,4
1913,2014,2,1
1917,2014,2,3
1921,2014,2,1
1922,2014,2,32
1926,2014,2,5
1927,2014,2,2
1932,2014,2,8
1933,2014,2,10
1934,2014,2,21
1935,2014,2,14
1936,2014,2,31
1937,2014,2,24
1938,2014,2,75
1939,2014,2,43
1940,2014,2,84
1941,2014,2,164
1942,2014,2,182
1943,2014,2,130
1944,2014,2,311
1945,2014,2,214
1946,2014,2,454
1947,2014,2,451
1948,2014,2,807
1949,2014,2,725
1950,2014,2,890
1951,2014,2,1158
1952,2014,2,1183
1953,2014,2,1775
1954,2014,2,1942
1955,2014,2,1917
1956,2014,2,2318
1956,2014,3,1
1957,2014,2,2238
1958,2014,2,2976
1959,2014,2,2820
1960,2014,2,3454
1960,2014,3,1
1961,2014,2,2747
1962,2014,2,3641
1963,2014,2,4229
1964,2014,2,4249
1965,2014,2,3643
1965,2014,3,1
1966,2014,2,4005
1967,2014,2,4649
1967,2014,3,1
1968,2014,2,4475
1968,2014,3,1
1969,2014,2,5455
1970,2014,2,5736
1971,2014,2,4922
1971,2014,3,1
1972,2014,2,5027
1972,2014,3,1
1973,2014,2,4974
1974,2014,2,5847
1974,2014,3,1
1975,2014,2,4884
1976,2014,2,5578
1976,2014,3,1
1977,2014,2,5957
1978,2014,2,6874
1978,2014,3,2
1979,2014,2,7771
1980,2014,2,7660
1980,2014,3,1
1981,2014,2,8208
1982,2014,2,7967
1982,2014,3,1
1983,2014,2,8779
1984,2014,2,9137
1984,2014,3,2
1985,2014,2,9304
1985,2014,3,1
1986,2014,2,8109
1987,2014,2,7472
1988,2014,2,8048
1989,2014,2,6842
1989,2014,3,1
1990,2014,2,5697
1991,2014,2,3074
1992,2014,2,2168
1993,2014,2,1687
1994,2014,2,1215
1995,2014,2,827
1996,2014,2,334
1997,2014,2,250
1997,2014,3,1
\N,2014,2,6717
1899,2014,3,14
1900,2014,3,141
1901,2014,3,31
1910,2014,3,8
1913,2014,3,2
1917,2014,3,6
1921,2014,3,13
1922,2014,3,29
1924,2014,3,11
1926,2014,3,11
1927,2014,3,5
1929,2014,3,1
1932,2014,3,18
1933,2014,3,22
1934,2014,3,52
1935,2014,3,41
1936,2014,3,63
1937,2014,3,43
1938,2014,3,147
1939,2014,3,65
1940,2014,3,138
1941,2014,3,402
1942,2014,3,463
1943,2014,3,296
1944,2014,3,674
1945,2014,3,562
1946,2014,3,758
1947,2014,3,884
1947,2014,4,1
1948,2014,3,1541
1949,2014,3,1327
1950,2014,3,1567
