start_hour,year,month,count
0,2014,1,2649
1,2014,1,1537
2,2014,1,974
3,2014,1,669
4,2014,1,658
5,2014,1,1854
6,2014,1,7207
7,2014,1,14097
8,2014,1,25563
9,2014,1,20737
10,2014,1,12582
11,2014,1,12863
12,2014,1,15541
13,2014,1,16388
14,2014,1,17237
14,2014,2,1
15,2014,1,18064
16,2014,1,21175
17,2014,1,29163
17,2014,2,2
18,2014,1,28392
19,2014,1,19409
19,2014,2,1
20,2014,1,12900
21,2014,1,9124
21,2014,2,1
22,2014,1,7067
22,2014,2,1
23,2014,1,4505
23,2014,2,39
0,2014,2,2121
1,2014,2,1181
2,2014,2,793
3,2014,2,450
4,2014,2,462
5,2014,2,1202
6,2014,2,4204
7,2014,2,8705
8,2014,2,16545
9,2014,2,14281
9,2014,3,1
10,2014,2,10098
11,2014,2,10307
12,2014,2,12444
13,2014,2,13652
13,2014,3,1
14,2014,2,14400
15,2014,2,14877
16,2014,2,17100
17,2014,2,22409
18,2014,2,20050
18,2014,3,1
19,2014,2,14046
20,2014,2,9404
20,2014,3,1
21,2014,2,6786
22,2014,2,5646
23,2014,2,3555
23,2014,3,14
0,2014,3,3781
1,2014,3,2200
2,2014,3,1204
3,2014,3,832
4,2014,3,907
5,2014,3,2343
6,2014,3,8737
7,2014,3,17242
8,2014,3,34542
9,2014,3,29591
10,2014,3,19256
11,2014,3,19523
12,2014,3,23839
13,2014,3,25229
14,2014,3,26675
15,2014,3,27950
16,2014,3,31819
17,2014,3,45314
18,2014,3,43314
19,2014,3,29123
20,2014,3,18137
21,2014,3,12277
22,2014,3,9164
23,2014,3,6088
23,2014,4,30
0,2014,4,5134
1,2014,4,2928
2,2014,4,1696
3,2014,4,896
4,2014,4,1017
5,2014,4,3167
6,2014,4,12812
7,2014,4,27622
8,2014,4,53072
9,2014,4,43448
10,2014,4,29688
11,2014,4,31500
12,2014,4,38047
13,2014,4,41347
14,2014,4,41898
15,2014,4,43860
16,2014,4,50305
17,2014,4,67875
18,2014,4,64963
19,2014,4,43391
20,2014,4,26386
21,2014,4,17764
22,2014,4,13294
23,2014,4,8666
23,2014,5,4
0,2014,5,7809
1,2014,5,4525
2,2014,5,2555
3,2014,5,1443
4,2014,5,1410
5,2014,5,4015
6,2014,5,16146
7,2014,5,33864
8,2014,5,62877
9,2014,5,52640
10,2014,5,38174
11,2014,5,41439
12,2014,5,50090
13,2014,5,53491
14,2014,5,53496
15,2014,5,55299
16,2014,5,63771
17,2014,5,85395
18,2014,5,81994
19,2014,5,58683
19,2014,6,1
20,2014,5,37227
20,2014,6,3
21,2014,5,26018
21,2014,6,2
22,2014,5,19865
22,2014,6,1
23,2014,5,13775
23,2014,6,109
0,2014,6,10435
1,2014,6,5567
2,2014,6,3307
3,2014,6,1973
4,2014,6,1742
5,2014,6,4540
6,2014,6,17730
7,2014,6,36085
8,2014,6,62302
9,2014,6,52156
10,2014,6,38507
11,2014,6,42917
12,2014,6,50107
13,2014,6,52445
14,2014,6,56088
15,2014,6,59517
16,2014,6,68424
17,2014,6,94449
18,2014,6,86892
19,2014,6,65635
19,2014,7,1
20,2014,6,49459
21,2014,6,33432
21,2014,7,2
22,2014,6,25185
22,2014,7,5
23,2014,6,17875
23,2014,7,103
0,2014,7,10163
1,2014,7,5698
2,2014,7,3393
3,2014,7,2334
4,2014,7,1972
5,2014,7,5365
6,2014,7,21783
7,2014,7,42557
8,2014,7,73341
9,2014,7,61051
10,2014,7,40018
11,2014,7,42165
12,2014,7,49741
13,2014,7,53363
14,2014,7,53248
15,2014,7,56333
16,2014,7,65831
17,2014,7,93303
18,2014,7,94250
19,2014,7,69167
19,2014,8,1
20,2014,7,47766
21,2014,7,32764
22,2014,7,25698
22,2014,8,1
23,2014,7,17404
23,2014,8,132
0,2014,8,10562
1,2014,8,5979
2,2014,8,3658
3,2014,8,2213
4,2014,8,1949
5,2014,8,4771
6,2014,8,18959
7,2014,8,37436
8,2014,8,66183
9,2014,8,57233
10,2014,8,41694
11,2014,8,46067
12,2014,8,53952
13,2014,8,56780
14,2014,8,56480
15,2014,8,59412
16,2014,8,68081
17,2014,8,91896
18,2014,8,92245
19,2014,8,67991
20,2014,8,45958
21,2014,8,32044
21,2014,9,1
22,2014,8,24739
22,2014,9,3
23,2014,8,17098
23,2014,9,105
0,2014,9,9546
1,2014,9,5144
2,2014,9,3357
3,2014,9,2004
4,2014,9,1874
5,2014,9,4962
6,2014,9,20426
6,2014,10,1
7,2014,9,41792
8,2014,9,68890
9,2014,9,57569
10,2014,9,41089
11,2014,9,44116
11,2014,10,2
12,2014,9,52604
13,2014,9,54593
13,2014,10,1
14,2014,9,55598
14,2014,10,1
15,2014,9,56300
16,2014,9,68297
16,2014,10,1
17,2014,9,95899
17,2014,10,5
18,2014,9,93783
18,2014,10,5
19,2014,9,65090
19,2014,10,4
20,2014,9,42656
20,2014,10,5
21,2014,9,30209
21,2014,10,1
21,2014,11,1
22,2014,9,22679
22,2014,10,1
23,2014,9,15329
23,2014,10,53
0,2014,10,7885
1,2014,10,4582
2,2014,10,2728
3,2014,10,1585
4,2014,10,1500
5,2014,10,4300
6,2014,10,17735
7,2014,10,37351
8,2014,10,65719
9,2014,10,53375
9,2014,11,1
10,2014,10,34724
10,2014,12,1
11,2014,10,36182
12,2014,10,43184
12,2014,11,1
13,2014,10,46355
13,2014,12,1
14,2014,10,49059
14,2014,11,1
15,2014,10,53158
16,2014,10,63700
16,2014,11,3
17,2014,10,85901
17,2014,12,1
18,2014,10,78058
18,2014,11,2
19,2014,10,51457
19,2014,11,1
20,2014,10,34257
20,2014,11,5
21,2014,10,24378
21,2014,11,3
22,2014,10,18894
22,2014,11,2
23,2014,10,12586
23,2014,11,36
0,2014,11,5140
1,2014,11,3091
2,2014,11,1858
3,2014,11,1187
4,2014,11,1134
5,2014,11,2861
6,2014,11,11918
7,2014,11,24339
8,2014,11,42901
9,2014,11,35813
9,2014,12,1
10,2014,11,24610
11,2014,11,25518
11,2014,12,2
12,2014,11,29489
12,2014,12,1
13,2014,11,30471
13,2014,12,1
14,2014,11,31773
14,2014,12,1
15,2014,11,33670
16,2014,11,38653
17,2014,11,49055
18,2014,11,46204
18,2014,12,1
19,2014,11,31925
20,2014,11,21596
21,2014,11,15498
22,2014,11,12269
22,2014,12,2
23,2014,11,8176
23,2014,12,30
0,2014,12,4038
1,2014,12,2318
2,2014,12,1383
3,2014,12,924
4,2014,12,961
5,2014,12,2616
6,2014,12,10176
6,2015,1,1
7,2014,12,19888
8,2014,12,34484
9,2014,12,28715
10,2014,12,19323
11,2014,12,19378
12,2014,12,21971
13,2014,12,22889
14,2014,12,24436
15,2014,12,25992
15,2015,1,1
16,2014,12,29314
16,2015,1,1
17,2014,12,35014
17,2015,1,2
18,2014,12,31876
19,2014,12,22005
20,2014,12,14937
20,2015,1,2
21,2014,12,11195
22,2014,12,8861
22,2015,1,2
23,2014,12,6347
23,2015,1,19
0,2015,1,2428
1,2015,1,1439
2,2015,1,979
3,2015,1,606
4,2015,1,664
5,2015,1,2269
6,2015,1,8126
7,2015,1,14898
8,2015,1,25109
9,2015,1,19373
10,2015,1,12519
11,2015,1,12589
12,2015,1,14598
13,2015,1,15340
14,2015,1,16134
15,2015,1,16961
16,2015,1,20573
17,2015,1,28028
18,2015,1,26426
19,2015,1,17544
20,2015,1,11258
21,2015,1,7611
21,2015,2,2
22,2015,1,6102
23,2015,1,3955
