start_station_name,start_station_latitude,start_station_longitude,year,month,count
1 Ave & E 15 St,40.73221853,-73.98165557,2014,1,1890
1 Ave & E 18 St,40.73416059,-73.98024289,2014,1,1246
1 Ave & E 30 St,40.74144387,-73.97536082,2014,1,1194
1 Ave & E 30 St,40.74144387,-73.97536082,2014,2,1
1 Ave & E 44 St,40.75001986,-73.96905301,2014,1,867
10 Ave & W 28 St,40.75066386,-74.00176802,2014,1,835
11 Ave & W 27 St,40.751396,-74.005226,2014,1,988
11 Ave & W 41 St,40.76030096,-73.99884222,2014,1,1029
12 Ave & W 40 St,40.76087502,-74.00277668,2014,1,565
2 Ave & E 31 St,40.74290902,-73.97706058,2014,1,1865
2 Ave & E 58 St,40.76020258,-73.96478473,2014,1,734
3 Ave & Schermerhorn St,40.68683208,-73.9796772,2014,1,165
5 Ave & E 29 St,40.7451677,-73.98683077,2014,1,1405
5 Ave & E 29 St,40.7451677,-73.98683077,2014,2,1
6 Ave & Broome St,40.724399,-74.004704,2014,1,797
6 Ave & Canal St,40.72243797,-74.00566443,2014,1,612
6 Ave & W 33 St,40.74901271,-73.98848395,2014,1,1760
6 Ave & W 33 St,40.74901271,-73.98848395,2014,2,1
7 Ave & Farragut St,40.69892054,-73.97332996,2014,1,103
8 Ave & W 31 St,40.75044999,-73.99481051,2014,1,3295
8 Ave & W 33 St,40.751551,-73.993934,2014,1,2696
8 Ave & W 33 St,40.751551,-73.993934,2014,2,1
8 Ave & W 52 St,40.76370739,-73.9851615,2014,1,1353
9 Ave & W 14 St,40.7405826,-74.00550867,2014,1,1034
9 Ave & W 16 St,40.74206539,-74.00443172,2014,1,1200
9 Ave & W 18 St,40.74317449,-74.00366443,2014,1,815
9 Ave & W 22 St,40.7454973,-74.00197139,2014,1,1528
9 Ave & W 22 St,40.7454973,-74.00197139,2014,2,2
9 Ave & W 45 St,40.76019252,-73.9912551,2014,1,1330
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2014,1,602
Allen St & E Houston St,40.722055,-73.989111,2014,1,1173
Allen St & E Houston St,40.722055,-73.989111,2014,2,2
Allen St & Hester St,40.71605866,-73.99190759,2014,1,1230
Allen St & Rivington St,40.72019576,-73.98997825,2014,1,1224
Allen St & Rivington St,40.72019576,-73.98997825,2014,2,1
Ashland Pl & Hanson Pl,40.68528172,-73.97805813,2014,1,658
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2014,1,443
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2014,2,1
Atlantic Ave & Furman St,40.69165183,-73.9999786,2014,1,163
Avenue D & E 12 St,40.72580614,-73.97422494,2014,1,106
Avenue D & E 3 St,40.72082834,-73.97793172,2014,1,540
Avenue D & E 8 St,40.72368361,-73.97574813,2014,1,341
Bank St & Hudson St,40.73652889,-74.00618026,2014,1,942
Bank St & Hudson St,40.73652889,-74.00618026,2014,2,1
Bank St & Washington St,40.7361967,-74.00859207,2014,1,720
Barclay St & Church St,40.71291224,-74.01020234,2014,1,1820
Barrow St & Hudson St,40.73172428,-74.00674436,2014,1,1435
Bayard St & Baxter St,40.71602118,-73.99974372,2014,1,952
Bedford Ave & S 9th St,40.70853074,-73.96408963,2014,1,53
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2014,1,576
Bond St & Schermerhorn St,40.68807003,-73.98410637,2014,1,369
Broad St & Bridge St,40.70365182,-74.01167797,2014,1,362
Broad St & Bridge St,40.70365182,-74.01167797,2014,2,1
Broadway & Battery Pl,40.70463334,-74.01361706,2014,1,707
Broadway & Battery Pl,40.70463334,-74.01361706,2014,2,1
Broadway & Berry St,40.71044554,-73.96525063,2014,1,147
Broadway & E 14 St,40.73454567,-73.99074142,2014,1,2184
Broadway & E 22 St,40.7403432,-73.98955109,2014,1,2469
Broadway & W 24 St,40.7423543,-73.98915076,2014,1,2000
Broadway & W 29 St,40.7462009,-73.98855723,2014,1,1219
Broadway & W 32 St,40.74854862,-73.98808416,2014,1,1707
Broadway & W 36 St,40.75097711,-73.98765428,2014,1,762
Broadway & W 37 St,40.75172632,-73.98753523,2014,1,365
Broadway & W 39 St,40.75299641,-73.98721619,2014,1,600
Broadway & W 41 St,40.75513557,-73.98658032,2014,1,1299
Broadway & W 49 St,40.76064679,-73.98442659,2014,1,1081
Broadway & W 49 St,40.76064679,-73.98442659,2014,2,1
Broadway & W 51 St,40.76228826,-73.98336183,2014,1,875
Broadway & W 53 St,40.76344058,-73.98268129,2014,1,754
Broadway & W 55 St,40.7652654,-73.98192338,2014,1,793
Broadway & W 58 St,40.76695317,-73.98169333,2014,1,1614
Broadway & W 60 St,40.76915505,-73.98191841,2014,1,1357
Broadway & W 60 St,40.76915505,-73.98191841,2014,2,1
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2014,1,150
Canal St & Rutgers St,40.71427487,-73.98990025,2014,1,1313
Carlton Ave & Park Ave,40.69580705,-73.97355569,2014,1,62
Carmine St & 6 Ave,40.73038599,-74.00214988,2014,1,1612
Catherine St & Monroe St,40.71117444,-73.99682619,2014,1,460
Central Park S & 6 Ave,40.76590936,-73.97634151,2014,1,473
Centre St & Chambers St,40.71273266,-74.0046073,2014,1,1196
Centre St & Worth St,40.71494807,-74.00234482,2014,1,613
Cherry St,40.71219906,-73.97948148,2014,1,362
Christopher St & Greenwich St,40.73291553,-74.00711384,2014,1,1672
Church St & Leonard St,40.71743998,-74.00583475,2014,1,706
Clark St & Henry St,40.69760127,-73.99344559,2014,1,528
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2014,1,206
Clermont Ave & Park Ave,40.69573398,-73.97129668,2014,1,162
Cleveland Pl & Spring St,40.7218158,-73.99720307,2014,1,1984
Cliff St & Fulton St,40.70823502,-74.00530063,2014,1,952
Clinton Ave & Flushing Ave,40.69794,-73.96986848,2014,1,158
Clinton Ave & Myrtle Ave,40.693261,-73.968896,2014,1,652
Clinton St & Grand St,40.71559509,-73.9870295,2014,1,855
Clinton St & Joralemon St,40.69239502,-73.99337909,2014,1,277
Clinton St & Tillary St,40.696192,-73.991218,2014,1,179
Columbia Heights & Cranberry St,40.70037867,-73.99548059,2014,1,123
Columbia St & Rivington St,40.71739973,-73.98016555,2014,1,639
Concord St & Bridge St,40.69766564,-73.98476437,2014,1,136
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,2014,1,342
DeKalb Ave & Hudson Ave,40.689888,-73.981013,2014,1,596
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2014,1,269
DeKalb Ave & Skillman St,40.6906495,-73.95643107,2014,1,155
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2014,1,312
Dean St & 4 Ave,40.68312489,-73.97895137,2014,1,388
Division St & Bowery,40.71413089,-73.9970468,2014,1,770
Duane St & Greenwich St,40.71748752,-74.0104554,2014,1,529
Duffield St & Willoughby St,40.69221589,-73.9842844,2014,1,248
E 10 St & 5 Ave,40.73331967,-73.99510132,2014,1,1053
E 10 St & Avenue A,40.72740794,-73.98142006,2014,1,1348
E 11 St & 1 Ave,40.72953837,-73.98426726,2014,1,1479
E 11 St & 1 Ave,40.72953837,-73.98426726,2014,2,1
E 11 St & 2 Ave,40.73047309,-73.98672378,2014,1,1483
E 11 St & 2 Ave,40.73047309,-73.98672378,2014,2,1
E 11 St & Broadway,40.73261787,-73.99158043,2014,1,1023
E 12 St & 3 Ave,40.73223272,-73.98889957,2014,1,1387
E 12 St & 3 Ave,40.73223272,-73.98889957,2014,2,1
E 13 St & Avenue A,40.72955361,-73.98057249,2014,1,1393
E 14 St & Avenue B,40.72938685,-73.97772429,2014,1,1130
E 15 St & 3 Ave,40.734232,-73.986923,2014,1,1301
E 16 St & 5 Ave,40.73726186,-73.99238967,2014,1,1310
E 16 St & Irving Pl,40.73524276,-73.98758561,2014,1,969
E 17 St & Broadway,40.73704984,-73.99009296,2014,1,2764
E 19 St & 3 Ave,40.73624527,-73.98473765,2014,1,1147
E 2 St & 2 Ave,40.72502876,-73.99069656,2014,1,990
E 2 St & Avenue B,40.72217444,-73.98368779,2014,1,1345
E 2 St & Avenue C,40.7208736,-73.98085795,2014,1,762
E 20 St & 2 Ave,40.73587678,-73.98205027,2014,1,1388
E 20 St & FDR Drive,40.73314259,-73.97573881,2014,1,1119
E 20 St & Park Ave,40.73827428,-73.98751968,2014,1,1321
E 23 St & 1 Ave,40.736502,-73.97809472,2014,1,1548
E 25 St & 1 Ave,40.7381765,-73.97738662,2014,1,951
E 25 St & 2 Ave,40.73912601,-73.97973776,2014,1,1372
E 27 St & 1 Ave,40.739445,-73.976806,2014,1,908
E 3 St & 1 Ave,40.72467721,-73.98783413,2014,1,1403
E 30 St & Park Ave S,40.74444921,-73.98303529,2014,1,1141
E 31 St & 3 Ave,40.74394314,-73.97966069,2014,1,1255
E 32 St & Park Ave,40.7457121,-73.98194829,2014,1,1915
E 33 St & 1 Ave,40.74315566,-73.97434726,2014,1,1450
E 33 St & 5 Ave,40.74765947,-73.98490707,2014,1,1264
E 37 St & Lexington Ave,40.748238,-73.978311,2014,1,850
E 37 St & Lexington Ave,40.748238,-73.978311,2014,2,2
E 39 St & 2 Ave,40.74780373,-73.9734419,2014,1,1648
E 39 St & 3 Ave,40.7489006,-73.97604882,2014,1,1391
E 4 St & 2 Ave,40.7262807,-73.98978041,2014,1,1158
E 40 St & 5 Ave,40.75206231,-73.9816324,2014,1,1506
E 43 St & 2 Ave,40.75022392,-73.97121414,2014,1,448
E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2014,1,2518
E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2014,2,1
E 45 St & 3 Ave,40.75255434,-73.97282625,2014,1,854
E 47 St & 1 Ave,40.75206862,-73.96784384,2014,1,480
E 47 St & 2 Ave,40.75323098,-73.97032517,2014,1,956
E 47 St & Park Ave,40.75510267,-73.97498696,2014,1,1355
E 48 St & 3 Ave,40.7546011,-73.97187886,2014,1,955
E 5 St & Avenue C,40.72299208,-73.97995466,2014,1,798
E 51 St & 1 Ave,40.75455731,-73.96592976,2014,1,554
E 51 St & Lexington Ave,40.75714758,-73.97207836,2014,1,838
E 52 St & 2 Ave,40.756014,-73.967416,2014,1,535
E 53 St & Lexington Ave,40.75828065,-73.97069431,2014,1,795
E 53 St & Madison Ave,40.7597108,-73.97402311,2014,1,741
E 55 St & 2 Ave,40.75797322,-73.96603308,2014,1,592
E 55 St & Lexington Ave,40.75968085,-73.97031366,2014,1,474
E 56 St & 3 Ave,40.75934501,-73.96759673,2014,1,457
E 56 St & Madison Ave,40.761628,-73.972924,2014,1,856
E 58 St & 3 Ave,40.76095756,-73.96724467,2014,1,1099
E 59 St & Sutton Pl,40.75849116,-73.95920622,2014,1,514
E 6 St & Avenue B,40.72453734,-73.98185424,2014,1,1496
E 6 St & Avenue D,40.72228087,-73.97668709,2014,1,429
E 7 St & Avenue A,40.72621788,-73.98379855,2014,1,1410
E 7 St & Avenue A,40.72621788,-73.98379855,2014,2,2
E 9 St & Avenue C,40.72521311,-73.97768752,2014,1,1193
E 9 St & Avenue C,40.72521311,-73.97768752,2014,2,1
Elizabeth St & Hester St,40.71729,-73.996375,2014,1,1225
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2014,1,194
FDR Drive & E 35 St,40.744219,-73.97121214,2014,1,592
Flushing Ave & Carlton Ave,40.69788349,-73.97350332,2014,1,179
Forsyth St & Broome St,40.71893904,-73.99266288,2014,1,1251
Forsyth St & Canal St,40.7158155,-73.99422366,2014,1,693
Forsyth St & Canal St,40.7158155,-73.99422366,2014,2,1
Franklin Ave & Myrtle Ave,40.694528,-73.958089,2014,1,94
Franklin St & W Broadway,40.71911552,-74.00666661,2014,1,617
Front St & Gold St,40.70224,-73.982578,2014,1,167
Front St & Maiden Ln,40.70530954,-74.00612572,2014,1,515
Front St & Washington St,40.70255088,-73.98940236,2014,1,477
Fulton St & Clermont Ave,40.68415748,-73.96922273,2014,1,167
Fulton St & Grand Ave,40.68223166,-73.9614583,2014,1,245
Fulton St & Rockwell Pl,40.687979,-73.978474,2014,1,520
Fulton St & Waverly Ave,40.68317813,-73.9659641,2014,1,305
Fulton St & William St,40.70955958,-74.00653609,2014,1,709
Fulton St & William St,40.70955958,-74.00653609,2014,2,1
Gallatin Pl & Livingston St,40.69028437,-73.98707105,2014,1,96
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,2014,1,1105
Grand St & Greene St,40.72165481,-74.00234737,2014,1,666
Grand St & Havemeyer St,40.71286844,-73.95698119,2014,1,164
Great Jones St,40.72743423,-73.99379025,2014,1,1498
Greenwich Ave & 8 Ave,40.73901691,-74.00263761,2014,1,2039
Greenwich Ave & Charles St,40.735238,-74.000271,2014,1,957
Greenwich St & N Moore St,40.72043411,-74.01020609,2014,1,1334
Greenwich St & Warren St,40.71542197,-74.01121978,2014,1,1143
Hancock St & Bedford Ave,40.68216564,-73.95399026,2014,1,143
Hanover Pl & Livingston St,40.68864636,-73.98263429,2014,1,61
Harrison St & Hudson St,40.71870987,-74.0090009,2014,1,514
Henry St & Atlantic Ave,40.69089272,-73.99612349,2014,1,477
Henry St & Grand St,40.714215,-73.981346,2014,1,989
Henry St & Poplar St,40.700469,-73.991454,2014,1,211
Hicks St & Montague St,40.69512845,-73.99595065,2014,1,416
Howard St & Centre St,40.71910537,-73.99973337,2014,1,962
Hudson St & Reade St,40.71625008,-74.0091059,2014,1,681
Jay St & Tech Pl,40.695065,-73.987167,2014,1,239
John St & William St,40.70862144,-74.00722156,2014,1,710
Johnson St & Gold St,40.69474881,-73.98362464,2014,1,327
Joralemon St & Adams St,40.69246277,-73.98963911,2014,1,706
