stop_hour,year,month,count
0,2014,1,2835
0,2014,2,39
1,2014,1,1693
2,2014,1,1052
3,2014,1,719
4,2014,1,625
5,2014,1,1483
6,2014,1,6422
7,2014,1,12464
8,2014,1,23388
9,2014,1,22836
10,2014,1,13398
11,2014,1,12412
12,2014,1,15131
12,2014,2,2
13,2014,1,16240
14,2014,1,17120
14,2014,2,2
15,2014,1,17766
16,2014,1,20563
17,2014,1,27982
18,2014,1,29276
18,2014,2,1
19,2014,1,21190
20,2014,1,13725
20,2014,2,1
21,2014,1,9638
22,2014,1,7490
23,2014,1,4907
0,2014,2,2372
0,2014,3,13
1,2014,2,1288
2,2014,2,827
2,2014,3,1
3,2014,2,508
4,2014,2,444
5,2014,2,963
6,2014,2,3719
7,2014,2,7532
7,2014,3,1
8,2014,2,14991
9,2014,2,15599
10,2014,2,10448
11,2014,2,9926
12,2014,2,12052
13,2014,2,13336
13,2014,3,1
14,2014,2,14212
15,2014,2,14643
15,2014,3,1
16,2014,2,16737
17,2014,2,21853
18,2014,2,21061
19,2014,2,15215
20,2014,2,10104
20,2014,3,1
21,2014,2,7103
22,2014,2,5860
23,2014,2,3925
0,2014,3,4176
0,2014,4,30
1,2014,3,2410
2,2014,3,1285
3,2014,3,930
4,2014,3,858
5,2014,3,1861
6,2014,3,7694
7,2014,3,15260
8,2014,3,31134
9,2014,3,32188
10,2014,3,20157
11,2014,3,18750
12,2014,3,22918
13,2014,3,24846
14,2014,3,26229
15,2014,3,27581
16,2014,3,30919
17,2014,3,43170
18,2014,3,45304
19,2014,3,32209
20,2014,3,19704
21,2014,3,13225
22,2014,3,9722
23,2014,3,6557
0,2014,4,5773
0,2014,5,4
1,2014,4,3251
2,2014,4,1870
3,2014,4,1009
4,2014,4,996
5,2014,4,2438
6,2014,4,11073
7,2014,4,23831
8,2014,4,47780
9,2014,4,47779
10,2014,4,30301
11,2014,4,29866
12,2014,4,36288
13,2014,4,40602
14,2014,4,41620
15,2014,4,42946
16,2014,4,49080
17,2014,4,65038
18,2014,4,67989
19,2014,4,48725
20,2014,4,29572
21,2014,4,19170
22,2014,4,14185
23,2014,4,9594
0,2014,5,8918
0,2014,6,113
1,2014,5,5065
1,2014,6,1
2,2014,5,2928
2,2014,6,1
3,2014,5,1619
4,2014,5,1414
4,2014,6,1
5,2014,5,3105
6,2014,5,13767
7,2014,5,29036
8,2014,5,57094
9,2014,5,57170
10,2014,5,38447
11,2014,5,38972
12,2014,5,48073
13,2014,5,52972
14,2014,5,53295
15,2014,5,54160
16,2014,5,61771
17,2014,5,81808
18,2014,5,84991
19,2014,5,65111
20,2014,5,41570
21,2014,5,28100
22,2014,5,21316
23,2014,5,15299
0,2014,6,11858
0,2014,7,106
1,2014,6,6478
1,2014,7,5
2,2014,6,3683
3,2014,6,2287
4,2014,6,1716
5,2014,6,3524
6,2014,6,15184
7,2014,6,31098
8,2014,6,57321
9,2014,6,56263
10,2014,6,39026
11,2014,6,40609
12,2014,6,48330
13,2014,6,51884
14,2014,6,54829
15,2014,6,58323
16,2014,6,65339
17,2014,6,90642
18,2014,6,89959
19,2014,6,71017
20,2014,6,53582
21,2014,6,36694
22,2014,6,27160
23,2014,6,19963
0,2014,7,11664
0,2014,8,127
1,2014,7,6561
1,2014,8,7
2,2014,7,3786
3,2014,7,2510
4,2014,7,2034
5,2014,7,4005
6,2014,7,18626
7,2014,7,37467
8,2014,7,66870
9,2014,7,66890
10,2014,7,41498
11,2014,7,40117
12,2014,7,48348
13,2014,7,52360
14,2014,7,53002
15,2014,7,55546
16,2014,7,62324
17,2014,7,88275
18,2014,7,96643
19,2014,7,74520
20,2014,7,52862
21,2014,7,35683
22,2014,7,27517
23,2014,7,19600
0,2014,8,11850
0,2014,9,107
1,2014,8,6811
1,2014,9,1
2,2014,8,4048
2,2014,9,1
3,2014,8,2525
4,2014,8,2010
5,2014,8,3710
6,2014,8,16075
7,2014,8,32508
8,2014,8,60393
9,2014,8,61814
10,2014,8,41692
11,2014,8,43149
12,2014,8,52699
13,2014,8,56398
14,2014,8,56254
15,2014,8,58274
16,2014,8,65655
17,2014,8,87576
18,2014,8,94343
19,2014,8,74012
20,2014,8,51585
21,2014,8,34461
22,2014,8,26576
23,2014,8,18962
0,2014,9,10707
0,2014,10,53
1,2014,9,5992
1,2014,10,2
2,2014,9,3617
2,2014,10,1
3,2014,9,2230
3,2014,10,2
4,2014,9,1861
4,2014,10,1
5,2014,9,3925
6,2014,9,17182
6,2014,10,1
7,2014,9,36402
7,2014,10,3
8,2014,9,63781
8,2014,10,1
8,2014,11,1
9,2014,9,62490
9,2014,10,2
10,2014,9,41891
10,2014,10,1
11,2014,9,41989
11,2014,10,1
12,2014,9,50763
12,2014,10,1
13,2014,9,53948
13,2014,10,1
14,2014,9,55774
14,2014,10,2
15,2014,9,55333
15,2014,10,1
16,2014,9,64845
16,2014,10,1
17,2014,9,91106
17,2014,10,1
18,2014,9,97168
19,2014,9,72299
20,2014,9,46629
20,2014,10,2
21,2014,9,32467
21,2014,10,1
22,2014,9,24436
23,2014,9,16971
23,2014,10,2
0,2014,10,8828
0,2014,11,34
1,2014,10,5069
1,2014,11,2
2,2014,10,3005
2,2014,11,1
3,2014,10,1808
4,2014,10,1419
4,2014,11,2
5,2014,10,3328
6,2014,10,15206
6,2014,11,1
7,2014,10,32348
8,2014,10,60278
8,2014,11,1
8,2014,12,1
9,2014,10,59081
9,2014,12,1
10,2014,10,35924
10,2014,11,2
10,2014,12,1
11,2014,10,34440
11,2014,11,1
12,2014,10,42008
12,2014,11,1
13,2014,10,45520
13,2014,11,1
14,2014,10,48372
14,2014,11,1
15,2014,10,51821
16,2014,10,61148
16,2014,11,3
17,2014,10,82333
17,2014,11,2
18,2014,10,83080
18,2014,11,2
19,2014,10,56603
20,2014,10,37032
21,2014,10,26149
22,2014,10,20048
22,2014,11,1
23,2014,10,13805
0,2014,11,5683
0,2014,12,28
1,2014,11,3349
2,2014,11,2051
3,2014,11,1273
4,2014,11,1091
5,2014,11,2246
6,2014,11,10405
7,2014,11,21143
7,2014,12,1
8,2014,11,39314
8,2014,12,4
9,2014,11,39338
10,2014,11,25363
10,2014,12,2
11,2014,11,24503
11,2014,12,1
12,2014,11,28965
13,2014,11,30228
13,2014,12,1
14,2014,11,31576
15,2014,11,33141
15,2014,12,1
16,2014,11,37597
17,2014,11,47808
18,2014,11,48253
19,2014,11,34640
19,2014,12,1
20,2014,11,23029
21,2014,11,16259
22,2014,11,12955
23,2014,11,8939
0,2014,12,4401
0,2015,1,16
1,2014,12,2560
1,2015,1,6
2,2014,12,1528
3,2014,12,959
4,2014,12,933
5,2014,12,2085
6,2014,12,8968
7,2014,12,17427
8,2014,12,31888
9,2014,12,31374
9,2015,1,2
10,2014,12,20067
11,2014,12,18900
12,2014,12,21613
13,2014,12,22561
13,2015,1,1
14,2014,12,24034
14,2015,1,1
15,2014,12,25721
15,2015,1,1
16,2014,12,28697
17,2014,12,34464
17,2015,1,1
18,2014,12,33277
19,2014,12,23808
20,2014,12,15934
21,2014,12,11753
22,2014,12,9240
23,2014,12,6849
0,2015,1,2624
0,2015,2,22
1,2015,1,1529
2,2015,1,1062
2,2015,2,1
3,2015,1,673
4,2015,1,586
5,2015,1,1838
6,2015,1,7151
7,2015,1,13281
8,2015,1,23497
9,2015,1,21510
10,2015,1,13016
11,2015,1,12202
12,2015,1,14311
13,2015,1,15216
14,2015,1,16025
15,2015,1,16700
16,2015,1,19693
17,2015,1,27073
18,2015,1,27664
19,2015,1,19038
20,2015,1,12071
21,2015,1,8123
22,2015,1,6312
23,2015,1,4334
0,2015,2,1882
0,2015,3,22
1,2015,2,995
2,2015,2,557
3,2015,2,386
4,2015,2,352
5,2015,2,1107
6,2015,2,3959
7,2015,2,7852
8,2015,2,15234
9,2015,2,15146
10,2015,2,9709
11,2015,2,8522
12,2015,2,9698
13,2015,2,10577
14,2015,2,10791
15,2015,2,11407
16,2015,2,13461
17,2015,2,19652
18,2015,2,19537
19,2015,2,13554
20,2015,2,8546
21,2015,2,6124
22,2015,2,4648
23,2015,2,3212
0,2015,3,2884
0,2015,4,25
1,2015,3,1482
2,2015,3,844
3,2015,3,635
4,2015,3,579
4,2015,4,1
5,2015,3,1697
6,2015,3,7456
7,2015,3,14522
8,2015,3,28514
8,2015,4,4
9,2015,3,28301
10,2015,3,16114
10,2015,4,1
11,2015,3,14700
12,2015,3,17245
12,2015,4,1
13,2015,3,17769
14,2015,3,18350
15,2015,3,18864
16,2015,3,22005
16,2015,4,1
17,2015,3,33706
18,2015,3,36192
19,2015,3,24140
20,2015,3,14150
21,2015,3,9838
22,2015,3,6886
23,2015,3,4920
0,2015,4,6093
0,2015,5,55
0,2015,6,1
1,2015,4,3302
1,2015,5,2
2,2015,4,1964
2,2015,5,1
3,2015,4,1187
3,2015,5,2
4,2015,4,985
4,2015,5,2
5,2015,4,2618
5,2015,5,2
6,2015,4,12003
7,2015,4,25098
7,2015,5,2
8,2015,4,45821
8,2015,5,1
9,2015,4,45385
9,2015,5,1
10,2015,4,29685
10,2015,5,1
11,2015,4,28479
11,2015,5,2
12,2015,4,34123
12,2015,5,3
13,2015,4,36288
14,2015,4,38256
14,2015,5,2
15,2015,4,39714
15,2015,5,2
16,2015,4,45599
16,2015,5,2
16,2015,6,1
17,2015,4,64868
18,2015,4,67409
18,2015,5,1
19,2015,4,48445
20,2015,4,30079
20,2015,5,1
21,2015,4,20005
22,2015,4,14861
22,2015,5,1
23,2015,4,10036
23,2015,5,2
0,2015,5,10128
0,2015,6,29
1,2015,5,5971
