user_type,year,month,count
Customer,2014,1,7252
Customer,2014,2,2
Subscriber,2014,1,293103
Subscriber,2014,2,43
Customer,2014,2,6717
Subscriber,2014,2,218001
Subscriber,2014,3,18
Customer,2014,3,22882
Subscriber,2014,3,416205
Subscriber,2014,4,30
Customer,2014,4,63047
Subscriber,2014,4,607729
Subscriber,2014,5,4
Customer,2014,5,107525
Customer,2014,6,26
Subscriber,2014,5,758476
Subscriber,2014,6,90
Customer,2014,6,118179
Customer,2014,7,26
Subscriber,2014,6,818590
Subscriber,2014,7,85
Customer,2014,7,119034
Customer,2014,8,30
Subscriber,2014,7,849674
Subscriber,2014,8,104
Customer,2014,8,135847
Customer,2014,9,27
Subscriber,2014,8,827533
Subscriber,2014,9,82
Customer,2014,9,99302
Customer,2014,10,13
Subscriber,2014,9,854504
Subscriber,2014,10,67
Subscriber,2014,11,1
Customer,2014,10,69071
Customer,2014,11,10
Customer,2014,12,2
Subscriber,2014,10,759582
Subscriber,2014,11,45
Subscriber,2014,12,1
Customer,2014,11,28005
Customer,2014,12,3
Subscriber,2014,11,501144
Subscriber,2014,12,36
Customer,2014,12,16483
Customer,2015,1,12
Subscriber,2014,12,382558
Subscriber,2015,1,16
Customer,2015,1,5628
Subscriber,2015,1,279901
Subscriber,2015,2,23
Customer,2015,2,2265
Subscriber,2015,2,194643
Subscriber,2015,3,22
Customer,2015,3,12850
Customer,2015,4,1
Subscriber,2015,3,328943
Subscriber,2015,4,32
Customer,2015,4,66197
Customer,2015,5,16
Subscriber,2015,4,586106
Subscriber,2015,5,69
Subscriber,2015,6,2
Customer,2015,5,167525
Customer,2015,6,19
Subscriber,2015,5,794409
Subscriber,2015,6,33
Customer,2015,6,130348
Customer,2015,7,33
Subscriber,2015,6,810741
Subscriber,2015,7,97
Customer,2015,7,180288
Customer,2015,8,74
Subscriber,2015,7,905187
Subscriber,2015,8,127
Customer,2015,8,220938
Customer,2015,9,58
Subscriber,2015,8,957977
Subscriber,2015,9,71
Customer,2015,9,210066
Customer,2015,10,41
Subscriber,2015,9,1079469
Subscriber,2015,10,123
Customer,2015,10,146420
Customer,2015,11,91
Subscriber,2015,10,1065579
Subscriber,2015,11,187
Customer,2015,11,100588
Customer,2015,12,8
Subscriber,2015,11,886578
Subscriber,2015,12,71
Customer,2015,12,67811
Customer,2016,1,66
Subscriber,2015,12,736205
Subscriber,2016,1,43
Customer,2016,1,24529
Customer,2016,2,14
Subscriber,2016,1,484871
Subscriber,2016,2,64
Customer,2016,2,29811
Customer,2016,3,14
Subscriber,2016,2,530993
Subscriber,2016,3,56
Customer,2016,3,93185
Customer,2016,4,53
Subscriber,2016,3,826551
Subscriber,2016,4,132
Customer,2016,4,130349
Customer,2016,5,116
Subscriber,2016,4,882548
Subscriber,2016,5,136
Customer,2016,5,159978
Customer,2016,6,36
Subscriber,2016,5,1052130
Subscriber,2016,6,136
Customer,2016,6,156777
Customer,2016,7,55
Subscriber,2016,6,1303290
Subscriber,2016,7,196
Customer,2016,7,201850
Customer,2016,8,38
Customer,2016,9,2
Customer,2016,10,1
Subscriber,2016,7,1178150
Subscriber,2016,8,68
Subscriber,2016,9,1
Customer,2016,8,218196
Customer,2016,9,43
Customer,2016,10,1
Subscriber,2016,8,1339295
Subscriber,2016,9,128
Customer,2016,9,221207
Customer,2016,10,10
Subscriber,2016,9,1427543
Subscriber,2016,10,96
Customer,2016,10,153310
Customer,2016,11,30
Customer,2016,12,2
Subscriber,2016,10,1402503
Subscriber,2016,11,74
Subscriber,2016,12,3
Subscriber,2017,1,1
Customer,2016,11,85934
Customer,2016,12,6
Subscriber,2016,11,1098406
Subscriber,2016,12,62
Customer,2016,12,32501
Customer,2017,1,25
Subscriber,2016,12,774229
Subscriber,2017,1,49
Customer,2017,1,23012
Customer,2017,2,5
Customer,2017,3,1
Subscriber,2017,1,700415
Subscriber,2017,2,48
Subscriber,2017,3,2
Customer,2017,2,42908
Customer,2017,3,8
Subscriber,2017,2,741072
Subscriber,2017,3,79
Customer,2017,3,26768
Customer,2017,4,9
Subscriber,2017,3,695720
Subscriber,2017,4,32
Customer,2017,4,188787
Customer,2017,5,66
Customer,2017,6,5
Customer,2017,7,2
Subscriber,2017,4,1126453
Subscriber,2017,5,84
Subscriber,2017,6,5
Subscriber,2017,7,2
Customer,2017,5,189703
Customer,2017,6,53
